TIME_PERIOD,SEA_LVL
1993,-3.1909529500000002
1994,-2.1395259500000003
1995,-1.6033439500000002
1996,-1.32866195
1997,-1.6323059500000001
1998,-1.1907409500000001
1999,-1.41985995
2000,-0.51256995
2001,-0.35998595
2002,-0.08410194999999998
2003,0.25366005000000014
2004,0.55313305
2005,0.7087390499999997
2006,1.13016105
2007,1.1651820499999999
2008,1.3847760499999997
2009,1.5440800500000003
2010,2.09079305
2011,2.0003440500000003
2012,2.63118105
2013,3.4208290499999996
2014,3.21931305
2015,3.97540805
2016,4.67202305
2017,4.737114050000001
2018,5.1288300499999995
2019,5.413095049999999
2020,5.762421049999999
2021,6.279852049999999
2022,6.64033105
2023,7.00075605
2024,7.62463805
2025,7.66600605
2026,7.63455005
