TIME_PERIOD,P10,P90,MEAN
1993,-0.1,0.0,-0.01904761904761905
1994,0.0,0.0,-0.004761904761904762
1995,0.0,0.0,0.0
1996,0.0,0.1,0.01904761904761905
1997,-0.1,0.0,-0.01904761904761905
1998,-0.2,0.0,-0.06190476190476191
1999,0.0,0.1,0.014285714285714287
2000,0.0,0.1,0.03333333333333334
2001,0.0,0.1,0.023809523809523808
2002,0.0,0.1,0.014285714285714287
2003,0.0,0.0,0.009523809523809525
2004,0.0,0.1,0.028571428571428574
2005,0.0,0.1,0.028571428571428574
2006,0.0,0.1,0.04285714285714286
2007,0.0,0.1,0.06190476190476191
2008,0.0,0.1,0.08095238095238096
2009,0.0,0.1,0.05714285714285715
2010,0.0,0.1,0.023809523809523808
2011,0.0,0.1,0.0761904761904762
2012,0.0,0.1,0.06666666666666668
2013,0.0,0.1,0.06666666666666668
2014,0.0,0.1,0.05238095238095238
2015,-0.1,0.1,0.028571428571428574
2016,0.0,0.1,0.03333333333333334
2017,0.1,0.1,0.1
2018,0.0,0.1,0.08571428571428572
2019,0.1,0.1,0.09047619047619049
2020,0.1,0.1,0.1
2021,0.1,0.2,0.12380952380952381
2022,0.1,0.2,0.13333333333333336
2023,0.1,0.1,0.10476190476190476
